DATE,TIME PERIOD,Euro short-term rate - Volume-weighted trimmed mean rate (EST.B.EU000A2X2A25.WT)
6/13/2022,13-Jun-22,-0.58
6/14/2022,14-Jun-22,-0.578
6/15/2022,15-Jun-22,-0.58
6/16/2022,16-Jun-22,-0.582
6/17/2022,17-Jun-22,-0.582
6/20/2022,20-Jun-22,-0.581
6/21/2022,21-Jun-22,-0.582
6/22/2022,22-Jun-22,-0.579
6/23/2022,23-Jun-22,-0.578
6/24/2022,24-Jun-22,-0.58
6/27/2022,27-Jun-22,-0.579
6/28/2022,28-Jun-22,-0.581
6/29/2022,29-Jun-22,-0.578
6/30/2022,30-Jun-22,-0.591
7/1/2022,1-Jul-22,-0.58
7/4/2022,4-Jul-22,-0.58
7/5/2022,5-Jul-22,-0.58
7/6/2022,6-Jul-22,-0.58
7/7/2022,7-Jul-22,-0.579
7/8/2022,8-Jul-22,-0.579
7/11/2022,11-Jul-22,-0.58
7/12/2022,12-Jul-22,-0.58
7/13/2022,13-Jul-22,-0.581
7/14/2022,14-Jul-22,-0.582
7/15/2022,15-Jul-22,-0.582
7/18/2022,18-Jul-22,-0.582
7/19/2022,19-Jul-22,-0.583
7/20/2022,20-Jul-22,-0.582
7/21/2022,21-Jul-22,-0.584
7/22/2022,22-Jul-22,-0.582
7/25/2022,25-Jul-22,-0.583
7/26/2022,26-Jul-22,-0.581
7/27/2022,27-Jul-22,-0.085
7/28/2022,28-Jul-22,-0.087
7/29/2022,29-Jul-22,-0.091
8/1/2022,1-Aug-22,-0.088
8/2/2022,2-Aug-22,-0.087
8/3/2022,3-Aug-22,-0.087
8/4/2022,4-Aug-22,-0.084
8/5/2022,5-Aug-22,-0.085
8/8/2022,8-Aug-22,-0.085
8/9/2022,9-Aug-22,-0.085
8/10/2022,10-Aug-22,-0.086
8/11/2022,11-Aug-22,-0.085
8/12/2022,12-Aug-22,-0.088
8/15/2022,15-Aug-22,-0.088
8/16/2022,16-Aug-22,-0.087
8/17/2022,17-Aug-22,-0.087
8/18/2022,18-Aug-22,-0.084
8/19/2022,19-Aug-22,-0.084
8/22/2022,22-Aug-22,-0.082
8/23/2022,23-Aug-22,-0.08
8/24/2022,24-Aug-22,-0.082
8/25/2022,25-Aug-22,-0.08
8/26/2022,26-Aug-22,-0.08
8/29/2022,29-Aug-22,-0.081
8/30/2022,30-Aug-22,-0.084
8/31/2022,31-Aug-22,-0.091
9/1/2022,1-Sep-22,-0.084
9/2/2022,2-Sep-22,-0.083
9/5/2022,5-Sep-22,-0.087
9/6/2022,6-Sep-22,-0.085
9/7/2022,7-Sep-22,-0.076
9/8/2022,8-Sep-22,-0.086
9/9/2022,9-Sep-22,-0.085
9/12/2022,12-Sep-22,-0.086
9/13/2022,13-Sep-22,-0.083
9/14/2022,14-Sep-22,0.662
9/15/2022,15-Sep-22,0.66
9/16/2022,16-Sep-22,0.66
9/19/2022,19-Sep-22,0.657
9/20/2022,20-Sep-22,0.659
9/21/2022,21-Sep-22,0.661
9/22/2022,22-Sep-22,0.661
9/23/2022,23-Sep-22,0.662
9/26/2022,26-Sep-22,0.663
9/27/2022,27-Sep-22,0.662
9/28/2022,28-Sep-22,0.662
9/29/2022,29-Sep-22,0.661
9/30/2022,30-Sep-22,0.642
10/3/2022,3-Oct-22,0.656
10/4/2022,4-Oct-22,0.657
10/5/2022,5-Oct-22,0.652
10/6/2022,6-Oct-22,0.655
10/7/2022,7-Oct-22,0.656
10/10/2022,10-Oct-22,0.655
10/11/2022,11-Oct-22,0.657
10/12/2022,12-Oct-22,0.658
10/13/2022,13-Oct-22,0.658
10/14/2022,14-Oct-22,0.657
10/17/2022,17-Oct-22,0.658
10/18/2022,18-Oct-22,0.657
10/19/2022,19-Oct-22,0.656
10/20/2022,20-Oct-22,0.656
10/21/2022,21-Oct-22,0.657
10/24/2022,24-Oct-22,0.658
10/25/2022,25-Oct-22,0.656
10/26/2022,26-Oct-22,0.656
10/27/2022,27-Oct-22,0.657
10/28/2022,28-Oct-22,0.656
10/31/2022,31-Oct-22,0.648
11/1/2022,1-Nov-22,0.659
11/2/2022,2-Nov-22,1.403
11/3/2022,3-Nov-22,1.403
11/4/2022,4-Nov-22,1.401
11/7/2022,7-Nov-22,1.4
11/8/2022,8-Nov-22,1.4
11/9/2022,9-Nov-22,1.4
11/10/2022,10-Nov-22,1.402
11/11/2022,11-Nov-22,1.404
11/14/2022,14-Nov-22,1.401
11/15/2022,15-Nov-22,1.4
11/16/2022,16-Nov-22,1.401
11/17/2022,17-Nov-22,1.402
11/18/2022,18-Nov-22,1.403
11/21/2022,21-Nov-22,1.403
11/22/2022,22-Nov-22,1.404
11/23/2022,23-Nov-22,1.405
11/24/2022,24-Nov-22,1.405
11/25/2022,25-Nov-22,1.403
11/28/2022,28-Nov-22,1.403
11/29/2022,29-Nov-22,1.402
11/30/2022,30-Nov-22,1.391
12/1/2022,1-Dec-22,1.4
12/2/2022,2-Dec-22,1.4
12/5/2022,5-Dec-22,1.398
12/6/2022,6-Dec-22,1.406
12/7/2022,7-Dec-22,1.399
12/8/2022,8-Dec-22,1.4
12/9/2022,9-Dec-22,1.4
12/12/2022,12-Dec-22,1.4
12/13/2022,13-Dec-22,1.4
12/14/2022,14-Dec-22,1.402
12/15/2022,15-Dec-22,1.403
12/16/2022,16-Dec-22,1.402
12/19/2022,19-Dec-22,1.403
12/20/2022,20-Dec-22,1.403
12/21/2022,21-Dec-22,1.902
12/22/2022,22-Dec-22,1.904
12/23/2022,23-Dec-22,1.907
12/27/2022,27-Dec-22,1.906
12/28/2022,28-Dec-22,1.906
12/29/2022,29-Dec-22,1.905
12/30/2022,30-Dec-22,1.89
1/2/2023,2-Jan-23,1.906
1/3/2023,3-Jan-23,1.904
1/4/2023,4-Jan-23,1.904
1/5/2023,5-Jan-23,1.9
1/6/2023,6-Jan-23,1.898
1/9/2023,9-Jan-23,1.9
1/10/2023,10-Jan-23,1.9
1/11/2023,11-Jan-23,1.9
1/12/2023,12-Jan-23,1.9
1/13/2023,13-Jan-23,1.901
1/16/2023,16-Jan-23,1.902
1/17/2023,17-Jan-23,1.901
1/18/2023,18-Jan-23,1.902
1/19/2023,19-Jan-23,1.903
1/20/2023,20-Jan-23,1.903
1/23/2023,23-Jan-23,1.902
1/24/2023,24-Jan-23,1.904
1/25/2023,25-Jan-23,1.904
1/26/2023,26-Jan-23,1.904
1/27/2023,27-Jan-23,1.906
1/30/2023,30-Jan-23,1.904
1/31/2023,31-Jan-23,1.894
2/1/2023,1-Feb-23,1.901
2/2/2023,2-Feb-23,1.902
2/3/2023,3-Feb-23,1.898
2/6/2023,6-Feb-23,1.901
2/7/2023,7-Feb-23,1.902
2/8/2023,8-Feb-23,2.401
2/9/2023,9-Feb-23,2.401
2/10/2023,10-Feb-23,2.401
2/13/2023,13-Feb-23,2.4
2/14/2023,14-Feb-23,2.4
2/15/2023,15-Feb-23,2.405
2/16/2023,16-Feb-23,2.4
2/17/2023,17-Feb-23,2.398
2/20/2023,20-Feb-23,2.4
2/21/2023,21-Feb-23,2.398
2/22/2023,22-Feb-23,2.399
2/23/2023,23-Feb-23,2.399
2/24/2023,24-Feb-23,2.398
2/27/2023,27-Feb-23,2.398
2/28/2023,28-Feb-23,2.388
3/1/2023,1-Mar-23,2.398
3/2/2023,2-Mar-23,2.399
3/3/2023,3-Mar-23,2.4
3/6/2023,6-Mar-23,2.399
3/7/2023,7-Mar-23,2.398
3/8/2023,8-Mar-23,2.399
3/9/2023,9-Mar-23,2.401
3/10/2023,10-Mar-23,2.403
3/13/2023,13-Mar-23,2.401
3/14/2023,14-Mar-23,2.401
3/15/2023,15-Mar-23,2.4
3/16/2023,16-Mar-23,2.399
3/17/2023,17-Mar-23,2.402
3/20/2023,20-Mar-23,2.398
3/21/2023,21-Mar-23,2.399
3/22/2023,22-Mar-23,2.898
3/23/2023,23-Mar-23,2.899
3/24/2023,24-Mar-23,2.899
3/27/2023,27-Mar-23,2.898
3/28/2023,28-Mar-23,2.894
3/29/2023,29-Mar-23,2.894
3/30/2023,30-Mar-23,2.896
3/31/2023,31-Mar-23,2.884
4/3/2023,3-Apr-23,2.898
4/4/2023,4-Apr-23,2.898
4/5/2023,5-Apr-23,2.902
4/6/2023,6-Apr-23,2.903
4/11/2023,11-Apr-23,2.897
4/12/2023,12-Apr-23,2.898
4/13/2023,13-Apr-23,2.899
4/14/2023,14-Apr-23,2.896
4/17/2023,17-Apr-23,2.897
4/18/2023,18-Apr-23,2.901
4/19/2023,19-Apr-23,2.902
4/20/2023,20-Apr-23,2.904
4/21/2023,21-Apr-23,2.902
4/24/2023,24-Apr-23,2.905
4/25/2023,25-Apr-23,2.901
4/26/2023,26-Apr-23,2.9
4/27/2023,27-Apr-23,2.9
4/28/2023,28-Apr-23,2.894
5/2/2023,2-May-23,2.896
5/3/2023,3-May-23,2.896
5/4/2023,4-May-23,2.897
5/5/2023,5-May-23,2.898
5/8/2023,8-May-23,2.892
5/9/2023,9-May-23,2.894
5/10/2023,10-May-23,3.145
5/11/2023,11-May-23,3.145
5/12/2023,12-May-23,3.148
5/15/2023,15-May-23,3.145
5/16/2023,16-May-23,3.147
5/17/2023,17-May-23,3.151
5/18/2023,18-May-23,3.153
5/19/2023,19-May-23,3.151
5/22/2023,22-May-23,3.15
5/23/2023,23-May-23,3.157
5/24/2023,24-May-23,3.148
5/25/2023,25-May-23,3.148
5/26/2023,26-May-23,3.152
5/29/2023,29-May-23,3.147
5/30/2023,30-May-23,3.148
5/31/2023,31-May-23,3.144
6/1/2023,1-Jun-23,3.147
6/2/2023,2-Jun-23,3.148
6/5/2023,5-Jun-23,3.148
6/6/2023,6-Jun-23,3.145
6/7/2023,7-Jun-23,3.144
6/8/2023,8-Jun-23,3.146
6/9/2023,9-Jun-23,3.147
6/12/2023,12-Jun-23,3.147
6/13/2023,13-Jun-23,3.147
6/14/2023,14-Jun-23,3.15
6/15/2023,15-Jun-23,3.147
6/16/2023,16-Jun-23,3.144
6/19/2023,19-Jun-23,3.144
6/20/2023,20-Jun-23,3.144
6/21/2023,21-Jun-23,3.395
6/22/2023,22-Jun-23,3.397
6/23/2023,23-Jun-23,3.4
6/26/2023,26-Jun-23,3.4
6/27/2023,27-Jun-23,3.397
6/28/2023,28-Jun-23,3.4
6/29/2023,29-Jun-23,3.4
6/30/2023,30-Jun-23,3.4
7/3/2023,3-Jul-23,3.399
7/4/2023,4-Jul-23,3.401
7/5/2023,5-Jul-23,3.404
7/6/2023,6-Jul-23,3.406
7/7/2023,7-Jul-23,3.406
7/10/2023,10-Jul-23,3.402
7/11/2023,11-Jul-23,3.404
7/12/2023,12-Jul-23,3.404
7/13/2023,13-Jul-23,3.401
7/14/2023,14-Jul-23,3.402
7/17/2023,17-Jul-23,3.4
7/18/2023,18-Jul-23,3.399
7/19/2023,19-Jul-23,3.4
7/20/2023,20-Jul-23,3.403
7/21/2023,21-Jul-23,3.404
7/24/2023,24-Jul-23,3.405
7/25/2023,25-Jul-23,3.405
7/26/2023,26-Jul-23,3.402
7/27/2023,27-Jul-23,3.403
7/28/2023,28-Jul-23,3.404
7/31/2023,31-Jul-23,3.392
8/1/2023,1-Aug-23,3.404
8/2/2023,2-Aug-23,3.655
8/3/2023,3-Aug-23,3.653
8/4/2023,4-Aug-23,3.653
8/7/2023,7-Aug-23,3.653
8/8/2023,8-Aug-23,3.652
8/9/2023,9-Aug-23,3.649
8/10/2023,10-Aug-23,3.652
8/11/2023,11-Aug-23,3.653
8/14/2023,14-Aug-23,3.656
8/15/2023,15-Aug-23,3.657
8/16/2023,16-Aug-23,3.654
8/17/2023,17-Aug-23,3.654
8/18/2023,18-Aug-23,3.655
8/21/2023,21-Aug-23,3.654
8/22/2023,22-Aug-23,3.655
8/23/2023,23-Aug-23,3.652
8/24/2023,24-Aug-23,3.649
8/25/2023,25-Aug-23,3.652
8/28/2023,28-Aug-23,3.651
8/29/2023,29-Aug-23,3.652
8/30/2023,30-Aug-23,3.652
8/31/2023,31-Aug-23,3.646
9/1/2023,1-Sep-23,3.652
9/4/2023,4-Sep-23,3.652
9/5/2023,5-Sep-23,3.651
9/6/2023,6-Sep-23,3.652
9/7/2023,7-Sep-23,3.652
9/8/2023,8-Sep-23,3.653
9/11/2023,11-Sep-23,3.652
9/12/2023,12-Sep-23,3.654
9/13/2023,13-Sep-23,3.652
9/14/2023,14-Sep-23,3.653
9/15/2023,15-Sep-23,3.65
9/18/2023,18-Sep-23,3.648
9/19/2023,19-Sep-23,3.651
9/20/2023,20-Sep-23,3.901
9/21/2023,21-Sep-23,3.902
9/22/2023,22-Sep-23,3.905
9/25/2023,25-Sep-23,3.904
9/26/2023,26-Sep-23,3.904
9/27/2023,27-Sep-23,3.905
9/28/2023,28-Sep-23,3.906
9/29/2023,29-Sep-23,3.88
10/2/2023,2-Oct-23,3.899
10/3/2023,3-Oct-23,3.9
10/4/2023,4-Oct-23,3.901
10/5/2023,5-Oct-23,3.9
10/6/2023,6-Oct-23,3.899
10/9/2023,9-Oct-23,3.9
10/10/2023,10-Oct-23,3.899
10/11/2023,11-Oct-23,3.901
10/12/2023,12-Oct-23,3.901
10/13/2023,13-Oct-23,3.903
10/16/2023,16-Oct-23,3.902
10/17/2023,17-Oct-23,3.904
10/18/2023,18-Oct-23,3.903
10/19/2023,19-Oct-23,3.905
10/20/2023,20-Oct-23,3.905
10/23/2023,23-Oct-23,3.905
10/24/2023,24-Oct-23,3.904
10/25/2023,25-Oct-23,3.9
10/26/2023,26-Oct-23,3.901
10/27/2023,27-Oct-23,3.903
10/30/2023,30-Oct-23,3.899
10/31/2023,31-Oct-23,3.882
11/1/2023,1-Nov-23,3.9
11/2/2023,2-Nov-23,3.903
11/3/2023,3-Nov-23,3.902
11/6/2023,6-Nov-23,3.9
11/7/2023,7-Nov-23,3.902
11/8/2023,8-Nov-23,3.902
11/9/2023,9-Nov-23,3.902
11/10/2023,10-Nov-23,3.904
11/13/2023,13-Nov-23,3.903
11/14/2023,14-Nov-23,3.902
11/15/2023,15-Nov-23,3.899
11/16/2023,16-Nov-23,3.906
11/17/2023,17-Nov-23,3.902
11/20/2023,20-Nov-23,3.903
11/21/2023,21-Nov-23,3.901
11/22/2023,22-Nov-23,3.902
11/23/2023,23-Nov-23,3.902
11/24/2023,24-Nov-23,3.904
11/27/2023,27-Nov-23,3.903
11/28/2023,28-Nov-23,3.903
11/29/2023,29-Nov-23,3.902
11/30/2023,30-Nov-23,3.891
12/1/2023,1-Dec-23,3.904
12/4/2023,4-Dec-23,3.904
12/5/2023,5-Dec-23,3.905
12/6/2023,6-Dec-23,3.904
12/7/2023,7-Dec-23,3.903
12/8/2023,8-Dec-23,3.903
12/11/2023,11-Dec-23,3.902
12/12/2023,12-Dec-23,3.905
12/13/2023,13-Dec-23,3.905
12/14/2023,14-Dec-23,3.907
12/15/2023,15-Dec-23,3.904
12/18/2023,18-Dec-23,3.901
12/19/2023,19-Dec-23,3.901
12/20/2023,20-Dec-23,3.901
12/21/2023,21-Dec-23,3.899
12/22/2023,22-Dec-23,3.899
12/27/2023,27-Dec-23,3.9
12/28/2023,28-Dec-23,3.9
12/29/2023,29-Dec-23,3.882
1/2/2024,2-Jan-24,3.906
1/3/2024,3-Jan-24,3.904
1/4/2024,4-Jan-24,3.902
1/5/2024,5-Jan-24,3.905
1/8/2024,8-Jan-24,3.904
1/9/2024,9-Jan-24,3.904
1/10/2024,10-Jan-24,3.906
1/11/2024,11-Jan-24,3.905
1/12/2024,12-Jan-24,3.904
1/15/2024,15-Jan-24,3.902
1/16/2024,16-Jan-24,3.905
1/17/2024,17-Jan-24,3.904
1/18/2024,18-Jan-24,3.907
1/19/2024,19-Jan-24,3.904
1/22/2024,22-Jan-24,3.902
1/23/2024,23-Jan-24,3.902
1/24/2024,24-Jan-24,3.905
1/25/2024,25-Jan-24,3.905
1/26/2024,26-Jan-24,3.904
1/29/2024,29-Jan-24,3.907
1/30/2024,30-Jan-24,3.907
1/31/2024,31-Jan-24,3.894
2/1/2024,1-Feb-24,3.905
2/2/2024,2-Feb-24,3.906
2/5/2024,5-Feb-24,3.907
2/6/2024,6-Feb-24,3.908
2/7/2024,7-Feb-24,3.908
2/8/2024,8-Feb-24,3.908
2/9/2024,9-Feb-24,3.91
2/12/2024,12-Feb-24,3.909
2/13/2024,13-Feb-24,3.909
2/14/2024,14-Feb-24,3.911
2/15/2024,15-Feb-24,3.911
2/16/2024,16-Feb-24,3.909
2/19/2024,19-Feb-24,3.91
2/20/2024,20-Feb-24,3.911
2/21/2024,21-Feb-24,3.91
2/22/2024,22-Feb-24,3.909
2/23/2024,23-Feb-24,3.907
2/26/2024,26-Feb-24,3.904
2/27/2024,27-Feb-24,3.905
2/28/2024,28-Feb-24,3.906
2/29/2024,29-Feb-24,3.887
3/1/2024,1-Mar-24,3.904
3/4/2024,4-Mar-24,3.903
3/5/2024,5-Mar-24,3.911
3/6/2024,6-Mar-24,3.905
3/7/2024,7-Mar-24,3.908
3/8/2024,8-Mar-24,3.907
3/11/2024,11-Mar-24,3.904
3/12/2024,12-Mar-24,3.905
3/13/2024,13-Mar-24,3.907
3/14/2024,14-Mar-24,3.908
3/15/2024,15-Mar-24,3.909
3/18/2024,18-Mar-24,3.909
3/19/2024,19-Mar-24,3.908
3/20/2024,20-Mar-24,3.908
3/21/2024,21-Mar-24,3.907
3/22/2024,22-Mar-24,3.909
3/25/2024,25-Mar-24,3.909
3/26/2024,26-Mar-24,3.906
3/27/2024,27-Mar-24,3.906
3/28/2024,28-Mar-24,3.899
4/2/2024,2-Apr-24,3.906
4/3/2024,3-Apr-24,3.911
4/4/2024,4-Apr-24,3.912
4/5/2024,5-Apr-24,3.907
4/8/2024,8-Apr-24,3.908
4/9/2024,9-Apr-24,3.909
4/10/2024,10-Apr-24,3.907
4/11/2024,11-Apr-24,3.907
4/12/2024,12-Apr-24,3.91
4/15/2024,15-Apr-24,3.907
4/16/2024,16-Apr-24,3.911
4/17/2024,17-Apr-24,3.908
4/18/2024,18-Apr-24,3.909
4/19/2024,19-Apr-24,3.91
4/22/2024,22-Apr-24,3.91
4/23/2024,23-Apr-24,3.908
4/24/2024,24-Apr-24,3.911
4/25/2024,25-Apr-24,3.909
4/26/2024,26-Apr-24,3.907
4/29/2024,29-Apr-24,3.906
4/30/2024,30-Apr-24,3.889
5/2/2024,2-May-24,3.91
5/3/2024,3-May-24,3.908
5/6/2024,6-May-24,3.909
5/7/2024,7-May-24,3.906
5/8/2024,8-May-24,3.905
5/9/2024,9-May-24,3.901
5/10/2024,10-May-24,3.906
5/13/2024,13-May-24,3.907
5/14/2024,14-May-24,3.907
5/15/2024,15-May-24,3.908
5/16/2024,16-May-24,3.904
5/17/2024,17-May-24,3.901
5/20/2024,20-May-24,3.904
5/21/2024,21-May-24,3.912
5/22/2024,22-May-24,3.91
5/23/2024,23-May-24,3.912
5/24/2024,24-May-24,3.91
5/27/2024,27-May-24,3.911
5/28/2024,28-May-24,3.909
5/29/2024,29-May-24,3.909
5/30/2024,30-May-24,3.91
5/31/2024,31-May-24,3.892
6/3/2024,3-Jun-24,3.913
6/4/2024,4-Jun-24,3.911
6/5/2024,5-Jun-24,3.913
6/6/2024,6-Jun-24,3.911
6/7/2024,7-Jun-24,3.912
6/10/2024,10-Jun-24,3.912
6/11/2024,11-Jun-24,3.909
6/12/2024,12-Jun-24,3.662
6/13/2024,13-Jun-24,3.661
6/14/2024,14-Jun-24,3.662
6/17/2024,17-Jun-24,3.662
6/18/2024,18-Jun-24,3.666
6/19/2024,19-Jun-24,3.663
6/20/2024,20-Jun-24,3.663
6/21/2024,21-Jun-24,3.664
6/24/2024,24-Jun-24,3.663
6/25/2024,25-Jun-24,3.663
6/26/2024,26-Jun-24,3.661
6/27/2024,27-Jun-24,3.662
6/28/2024,28-Jun-24,3.656
7/1/2024,1-Jul-24,3.665
7/2/2024,2-Jul-24,3.662
7/3/2024,3-Jul-24,3.663
7/4/2024,4-Jul-24,3.663
7/5/2024,5-Jul-24,3.663
7/8/2024,8-Jul-24,3.662
7/9/2024,9-Jul-24,3.662
7/10/2024,10-Jul-24,3.663
7/11/2024,11-Jul-24,3.662
7/12/2024,12-Jul-24,3.661
7/15/2024,15-Jul-24,3.661
7/16/2024,16-Jul-24,3.662
7/17/2024,17-Jul-24,3.662
7/18/2024,18-Jul-24,3.663
7/19/2024,19-Jul-24,3.663
7/22/2024,22-Jul-24,3.664
7/23/2024,23-Jul-24,3.665
7/24/2024,24-Jul-24,3.665
7/25/2024,25-Jul-24,3.665
7/26/2024,26-Jul-24,3.663
7/29/2024,29-Jul-24,3.663
7/30/2024,30-Jul-24,3.665
7/31/2024,31-Jul-24,3.653
8/1/2024,1-Aug-24,3.664
8/2/2024,2-Aug-24,3.664
8/5/2024,5-Aug-24,3.664
8/6/2024,6-Aug-24,3.663
8/7/2024,7-Aug-24,3.663
8/8/2024,8-Aug-24,3.665
8/9/2024,9-Aug-24,3.663
8/12/2024,12-Aug-24,3.664
8/13/2024,13-Aug-24,3.664
8/14/2024,14-Aug-24,3.662
8/15/2024,15-Aug-24,3.662
8/16/2024,16-Aug-24,3.664
8/19/2024,19-Aug-24,3.664
8/20/2024,20-Aug-24,3.664
8/21/2024,21-Aug-24,3.663
8/22/2024,22-Aug-24,3.664
8/23/2024,23-Aug-24,3.664
8/26/2024,26-Aug-24,3.665
8/27/2024,27-Aug-24,3.665
8/28/2024,28-Aug-24,3.666
8/29/2024,29-Aug-24,3.664
8/30/2024,30-Aug-24,3.654
9/2/2024,2-Sep-24,3.664
9/3/2024,3-Sep-24,3.663
9/4/2024,4-Sep-24,3.663
9/5/2024,5-Sep-24,3.662
9/6/2024,6-Sep-24,3.663
9/9/2024,9-Sep-24,3.663
9/10/2024,10-Sep-24,3.664
9/11/2024,11-Sep-24,3.664
9/12/2024,12-Sep-24,3.664
9/13/2024,13-Sep-24,3.663
9/16/2024,16-Sep-24,3.662
9/17/2024,17-Sep-24,3.665
9/18/2024,18-Sep-24,3.416
9/19/2024,19-Sep-24,3.414
9/20/2024,20-Sep-24,3.412
9/23/2024,23-Sep-24,3.414
9/24/2024,24-Sep-24,3.415
9/25/2024,25-Sep-24,3.416
9/26/2024,26-Sep-24,3.415
9/27/2024,27-Sep-24,3.415
9/30/2024,30-Sep-24,3.41
10/1/2024,1-Oct-24,3.416
10/2/2024,2-Oct-24,3.41
10/3/2024,3-Oct-24,3.407
10/4/2024,4-Oct-24,3.414
10/7/2024,7-Oct-24,3.413
10/8/2024,8-Oct-24,3.414
10/9/2024,9-Oct-24,3.415
10/10/2024,10-Oct-24,3.414
10/11/2024,11-Oct-24,3.413
10/14/2024,14-Oct-24,3.413
10/15/2024,15-Oct-24,3.413
10/16/2024,16-Oct-24,3.414
10/17/2024,17-Oct-24,3.415
10/18/2024,18-Oct-24,3.415
10/21/2024,21-Oct-24,3.415
10/22/2024,22-Oct-24,3.416
10/23/2024,23-Oct-24,3.166
10/24/2024,24-Oct-24,3.166
10/25/2024,25-Oct-24,3.166
10/28/2024,28-Oct-24,3.164
10/29/2024,29-Oct-24,3.164
10/30/2024,30-Oct-24,3.165
10/31/2024,31-Oct-24,3.155
11/1/2024,1-Nov-24,3.163
11/4/2024,4-Nov-24,3.163
11/5/2024,5-Nov-24,3.163
11/6/2024,6-Nov-24,3.162
11/7/2024,7-Nov-24,3.163
11/8/2024,8-Nov-24,3.163
11/11/2024,11-Nov-24,3.162
11/12/2024,12-Nov-24,3.163
11/13/2024,13-Nov-24,3.164
11/14/2024,14-Nov-24,3.165
11/15/2024,15-Nov-24,3.165
11/18/2024,18-Nov-24,3.165
11/19/2024,19-Nov-24,3.166
11/20/2024,20-Nov-24,3.167
11/21/2024,21-Nov-24,3.167
11/22/2024,22-Nov-24,3.168
11/25/2024,25-Nov-24,3.167
11/26/2024,26-Nov-24,3.165
11/27/2024,27-Nov-24,3.165
11/28/2024,28-Nov-24,3.164
11/29/2024,29-Nov-24,3.163
12/2/2024,2-Dec-24,3.165
12/3/2024,3-Dec-24,3.164
12/4/2024,4-Dec-24,3.165
12/5/2024,5-Dec-24,3.165
12/6/2024,6-Dec-24,3.165
12/9/2024,9-Dec-24,3.164
12/10/2024,10-Dec-24,3.163
12/11/2024,11-Dec-24,3.164
12/12/2024,12-Dec-24,3.164
