Call											Put																				
Last traded	Open	High	Low	D. Settle	OI adj	Volume	Last	Bid	Ask	Strike	Bid	Ask	Last	Volume	OI adj	D. Settle	Open	High	Low	Last traded											
12:15 20/11	"2,008.70"	"2,008.70"	"2,008.70"	"2,008.70"	"2,000"	-	"2,008.70"	-	-	"2,600.00"	-	-	113.8	-	"19,000"	113.8	113.8	113.8	113.8	12:15 20/11											
12:15 20/11	"1,930.20"	"1,930.20"	"1,930.20"	"1,930.20"	-	-	"1,930.20"	-	-	"2,700.00"	-	-	124.1	-	"10,000"	124.1	124.1	124.1	124.1	12:15 20/11											
12:15 20/11	"1,852.70"	"1,852.70"	"1,852.70"	"1,852.70"	-	-	"1,852.70"	-	-	"2,800.00"	-	-	135.3	-	"11,500"	135.3	135.3	135.3	135.3	12:15 20/11											
12:15 20/11	"1,814.30"	"1,814.30"	"1,814.30"	"1,814.30"	-	-	"1,814.30"	-	-	"2,850.00"	-	-	141.2	-	146	141.2	141.2	141.2	141.2	12:15 20/11											
12:15 20/11	"1,776.20"	"1,776.20"	"1,776.20"	"1,776.20"	-	-	"1,776.20"	-	-	"2,900.00"	-	-	147.5	-	"5,000"	147.5	147.5	147.5	147.5	12:15 20/11											
12:15 20/11	"1,700.70"	"1,700.70"	"1,700.70"	"1,700.70"	"1,650"	-	"1,700.70"	-	-	"3,000.00"	-	-	160.7	-	"24,405"	160.7	160.7	160.7	160.7	12:15 20/11											
12:15 20/11	"1,626.20"	"1,626.20"	"1,626.20"	"1,626.20"	-	-	"1,626.20"	-	-	"3,100.00"	-	-	174.9	-	-	174.9	174.9	174.9	174.9	12:15 20/11											
12:15 20/11	"1,552.90"	"1,552.90"	"1,552.90"	"1,552.90"	"3,000"	-	"1,552.90"	-	-	"3,200.00"	-	-	190.4	-	"4,500"	190.4	190.4	190.4	190.4	12:15 20/11											
12:15 20/11	"1,480.90"	"1,480.90"	"1,480.90"	"1,480.90"	-	-	"1,480.90"	-	-	"3,300.00"	-	-	207	-	"8,000"	207	207	207	207	12:15 20/11											
12:15 20/11	"1,410.10"	"1,410.10"	"1,410.10"	"1,410.10"	"2,002"	-	"1,410.10"	-	-	"3,400.00"	-	-	225	-	"4,300"	225	225	225	225	12:15 20/11											
12:15 20/11	"1,340.80"	"1,340.80"	"1,340.80"	"1,340.80"	"1,000"	-	"1,340.80"	-	-	"3,500.00"	-	-	244.3	-	"5,500"	244.3	244.3	244.3	244.3	12:15 20/11											
12:15 20/11	"1,272.90"	"1,272.90"	"1,272.90"	"1,272.90"	"7,000"	-	"1,272.90"	-	-	"3,600.00"	-	-	265.2	-	"3,000"	265.2	265.2	265.2	265.2	12:15 20/11											
12:15 20/11	"1,206.70"	"1,206.70"	"1,206.70"	"1,206.70"	"4,005"	-	"1,206.70"	-	-	"3,700.00"	-	-	287.6	-	"5,550"	287.6	287.6	287.6	287.6	12:15 20/11											
12:15 20/11	"1,142.00"	"1,142.00"	"1,142.00"	"1,142.00"	"1,751"	-	"1,142.00"	-	-	"3,800.00"	-	-	311.7	-	"4,450"	311.7	311.7	311.7	311.7	12:15 20/11											
12:15 20/11	"1,079.20"	"1,079.20"	"1,079.20"	"1,079.20"	-	-	"1,079.20"	-	-	"3,900.00"	-	-	337.5	-	-	337.5	337.5	337.5	337.5	12:15 20/11											
12:15 20/11	"1,033.20"	"1,033.20"	"1,033.20"	"1,033.20"	-	-	"1,033.20"	-	-	"3,975.00"	-	-	358.1	-	117	358.1	358.1	358.1	358.1	12:15 20/11											
12:15 20/11	"1,018.10"	"1,018.10"	"1,018.10"	"1,018.10"	"13,101"	-	"1,018.10"	-	-	"4,000.00"	-	-	365.2	-	"11,103"	365.2	365.2	365.2	365.2	12:15 20/11											
12:15 20/11	988.3	988.3	988.3	988.3	-	-	988.3	-	-	"4,050.00"	-	-	379.7	-	-	379.7	379.7	379.7	379.7	12:15 20/11											
12:15 20/11	958.9	958.9	958.9	958.9	-	-	958.9	-	-	"4,100.00"	-	-	394.7	-	-	394.7	394.7	394.7	394.7	12:15 20/11											
12:15 20/11	930.1	930.1	930.1	930.1	-	-	930.1	-	-	"4,150.00"	-	-	410.2	-	-	410.2	410.2	410.2	410.2	12:15 20/11											
12:15 20/11	901.7	901.7	901.7	901.7	"3,000"	-	901.7	-	-	"4,200.00"	-	-	426.2	-	"4,800"	426.2	426.2	426.2	426.2	12:15 20/11											
12:15 20/11	873.9	873.9	873.9	873.9	-	-	873.9	-	-	"4,250.00"	-	-	442.7	-	-	442.7	442.7	442.7	442.7	12:15 20/11											
12:15 20/11	846.6	846.6	846.6	846.6	"1,500"	-	846.6	-	-	"4,300.00"	-	-	459.8	-	"1,500"	459.8	459.8	459.8	459.8	12:15 20/11											
12:15 20/11	819.7	819.7	819.7	819.7	-	-	819.7	-	-	"4,350.00"	-	-	477.3	-	-	477.3	477.3	477.3	477.3	12:15 20/11											
12:15 20/11	793.4	793.4	793.4	793.4	"7,350"	-	793.4	-	-	"4,400.00"	-	-	495.3	-	"6,450"	495.3	495.3	495.3	495.3	12:15 20/11											
12:15 20/11	742.5	742.5	742.5	742.5	"5,000"	-	742.5	-	-	"4,500.00"	-	-	533.2	-	"5,202"	533.2	533.2	533.2	533.2	12:15 20/11											
12:15 20/11	694	694	694	694	"1,000"	-	694	-	-	"4,600.00"	-	-	573.3	-	"2,000"	573.3	573.3	573.3	573.3	12:15 20/11											
12:15 20/11	647.6	647.6	647.6	647.6	"3,750"	-	647.6	-	-	"4,700.00"	-	-	615.7	-	"4,200"	615.7	615.7	615.7	615.7	12:15 20/11											
12:15 20/11	603.6	603.6	603.6	603.6	"7,200"	-	603.6	-	-	"4,800.00"	-	-	660.4	-	"2,950"	660.4	660.4	660.4	660.4	12:15 20/11											
12:15 20/11	582.5	582.5	582.5	582.5	"1,500"	-	582.5	-	-	"4,850.00"	-	-	683.6	-	"1,500"	683.6	683.6	683.6	683.6	x`											
12:15 20/11	561.9	561.9	561.9	561.9	"7,250"	-	561.9	-	-	"4,900.00"	-	-	707.3	-	"6,750"	707.3	707.3	707.3	707.3	12:15 20/11											
12:15 20/11	541.8	541.8	541.8	541.8	"3,000"	-	541.8	-	-	"4,950.00"	-	-	731.6	-	"1,000"	731.6	731.6	731.6	731.6	12:15 20/11											
12:15 20/11	522.3	522.3	522.3	522.3	"6,800"	-	522.3	-	-	"5,000.00"	-	-	756.5	-	"8,800"	756.5	756.5	756.5	756.5	12:15 20/11											
12:15 20/11	485	485	485	485	"3,000"	-	485	-	-	"5,100.00"	-	-	807.9	-	"3,000"	807.9	807.9	807.9	807.9	12:15 20/11											
12:15 20/11	449.8	449.8	449.8	449.8	"1,000"	-	449.8	-	-	"5,200.00"	-	-	861.4	-	"1,000"	861.4	861.4	861.4	861.4	12:15 20/11											
12:15 20/11	416.7	416.7	416.7	416.7	-	-	416.7	-	-	"5,300.00"	-	-	916.9	-	-	916.9	916.9	916.9	916.9	12:15 20/11											
12:15 20/11	385.6	385.6	385.6	385.6	"1,001"	-	385.6	-	-	"5,400.00"	-	-	974.6	-	"1,000"	974.6	974.6	974.6	974.6	12:15 20/11											
12:15 20/11	356.4	356.4	356.4	356.4	"6,000"	-	356.4	-	-	"5,500.00"	-	-	"1,034.10"	-	"2,500"	"1,034.10"	"1,034.10"	"1,034.10"	"1,034.10"	12:15 20/11											
12:15 20/11	329.2	329.2	329.2	329.2	"2,000"	-	329.2	-	-	"5,600.00"	-	-	"1,095.60"	-	-	"1,095.60"	"1,095.60"	"1,095.60"	"1,095.60"	12:15 20/11											
